PMID,title,year,journal,authors
39771629,The Influence of Polylactic Acid Filament Moisture Content on Dust Emissions in 3D Printing Process.,2024,"Sensors (Basel, Switzerland)",
39769638,"Electret Nonwoven Structures for High-Efficiency Air Filtration, Produced Using the Blow Spinning Technique.",2024,"Materials (Basel, Switzerland)",
39743708,Occurrence of PBDEs in car and airplane dust in Poland - exposure assessment and health risk characterization for selected age ranges.,2024,Annals of agricultural and environmental medicine : AAEM,
39738424,Impact of bottom ash addition on Pleurotus ostreatus cultivation on coffee ground substrate.,2024,Scientific reports,
39738395,Burning of municipal waste in household furnaces and the health of their owners.,2024,Scientific reports,
39699692,Baseline concentrations and quantitative health risk assessment of polycyclic aromatic hydrocarbons (PAHs) in relation to particle grain size in street dust of Warsaw Poland.,2024,Environmental geochemistry and health,
39685856,A Breath of Trouble: Unraveling the Impact of Air Pollution on Atrial Fibrillation.,2024,Journal of clinical medicine,
39681570,Ambient air pollution undermines chemosensory sensitivity - a global perspective.,2024,Scientific reports,
39667062,Quantifying the health impact of PM2.5 with various chemical transport models and for different years - A case study for Poland.,2024,Environment international,
39645377,"Burden of disease scenarios by state in the USA, 2022-50: a forecasting analysis for the Global Burden of Disease Study 2021.",2024,"Lancet (London, England)",
39626414,"Comprehensive characterization of European house dust contaminants: Concentrations and profiles, geographical variability, and implications for chemical regulation and health risk.",2024,The Science of the total environment,
39600138,"Comparison of Two Analytical Techniques of Biomass Burning Markers in PM(1) and PM(2.5) From Zabrze, Southern Poland.",2024,Journal of separation science,
39564929,"Shields against pollution: phytoremediation and impact of particulate matter on trees at Wigry National Park, Poland.",2025,International journal of phytoremediation,
39557980,A comparative study of foliar particulate matter wash-off from plants under natural and simulated rain conditions.,2024,Scientific reports,
39519814,Tracking Long-Lived Free Radicals in Dandelion Caused by Air Pollution Using Electron Paramagnetic Resonance Spectroscopy.,2024,"Molecules (Basel, Switzerland)",
39516536,Prenatal exposure to air pollutants and the second to fourth digit ratio in adult women.,2024,Scientific reports,
39494078,"Assessment of the microbial contamination in ""Do It Yourself"" (DIY) stores - a holistic approach to protect workers' and consumers' health.",2024,Frontiers in public health,
39461612,"Removal of airborne particulate matter by evergreen tree species in Dhaka, Bangladesh.",2024,"Environmental pollution (Barking, Essex : 1987)",
39453117,The Possible Role of PM(2.5) Chronic Exposure on 5-Year Survival in Patients with Left Ventricular Dysfunction Following Coronary Artery Bypass Grafting.,2024,Toxics,
39433625,CO(2) capture enhancement by metal oxides impregnated coal fly ash: a breakthrough adsorption study.,2024,Environmental science and pollution research international,
39388036,"Long- and short-term pollution effect in megapolis assessed from magnetic and geochemical measurements on soils, tree trunk bark, and air filters.",2024,Environmental monitoring and assessment,
39376999,Air pollutants and ovarian reserve: a systematic review of the evidence.,2024,Frontiers in public health,
39337093,"Examining the Link between Air Quality (PM, SO(2), NO(2), PAHs) and Childhood Obesity: A Systematic Review.",2024,Journal of clinical medicine,
39304082,Synergistic neurological threat from Сu and wood smoke particulate matter.,2024,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,
39274003,Quantification of Airborne Particulate Matter and Trace Element Deposition on Hedera helix and Senecio cineraria Leaves.,2024,"Plants (Basel, Switzerland)",
