Miejscowość,Kod stacji,2024
Borsukowizna,PdBorsukowiz,22
Rymanów-Zdrój,PkRymZdrPark,37
Kołobrzeg,ZpKolZolkiew,58
Krosno,PkKrosKletow,65
Suwałki,PdSuwPulask2,69
Szczecin,ZpSzczAndrze,72
Dąbki,ZpDabkiSztorMOB,73
Białystok,PdBialUpalna,76
Siedlce,MzSiedKonars,79
Bytów,PmBytowMila1MOB,80
Lubsko,LuLubsStrzelMOB ,81
Grajewo,PdGrajewoWPoMOB,83
Żary,LuZarySzyman,83
Jasło,PkJasloSikor,89
Świecie,KpSwiecJPawlMOB,92
Strzelce Opolskie,OpStrzOpWyszMOB,92
Rzeszów,PkRzeszStarz,92
Tarnów,MpTarRoSitko,97
Kudowa-Zdrój,DsKudowaSzkoMOB,98
Wschowa,LuWsKaziWiel,98
Elbląg,WmElbBazynsk,100
Ełk,WmElkStadion,100
Rzeszów,PkRzeszSloci,101
Warszawa,MzWarWokalna,102
Białystok,PdBialPPiech,102
Kościerzyna,PmKosTargowa,102
Konstancin-Jeziorna,MzKonJezZero,102
Boguchwała,PkBoguchAngeMOB,104
Warszawa,MzWarChrosci,108
Bydgoszcz,KpBydPlPozna,108
Gdańsk,PmGdaWyzwole,108
Jelenia Góra,DsJelGorOgin,109
Kędzierzyn-Koźle,OpKKozBSmial,111
Gorzów Wielkopolski,LuGorzKosGdy,115
Złoty Potok,SlZlotPotLes,117
Warszawa,MzWarKondrat,120
Opole,OpOpoleKoszy,120
Legionowo,MzLegZegrzyn,121
Bydgoszcz,KpBydWarszaw,123
Sopot,PmSopBiPlowc,123
Piastów,MzPiasPulask,124
Poznań,WpPoznSzwajc,125
Biała,MzBialaKmiciMOB,127
Jarosław,PkJarosPruch,128
Łódź,LdLodzCzerni,128
Kłodzko,DsKlodzSzkol,129
Pułtusk,MzPultuskMicMOB,130
Wrocław,DsWrocWybCon,130
Szczecin,ZpSzczPilsud,130
Płock,MzPlocMiReja,131
Łagów,SkLagowZaploMOB,131
Wrocław,DsWrocAlWisn,134
Otwock,MzOtwoBrzozo,135
Nakło nad Notecią,KpNaklWawrzy,136
Łuków,LbLukBulNiepMOB,137
Gdańsk,PmGdaLeczkow,139
Olsztyn,WmOlsPuszkin,139
Goczałkowice-Zdrój,SlGoczaUzdroMOB,139
Toruń,KpToruKaszow,140
Warszawa,MzWarBajkowa,142
Żyrardów,MzZyraRoosev,142
Gdynia,PmGdyPorebsk,143
Kościan,WpKoscianMayMOB,143
Mielec,PkMielBierna,144
Starachowice,SkStaraZlota,145
Zielona Góra,LuZielKrotka,145
Poznań,WpPoznDabrow,145
Przemyśl,PkPrzemGrunw,146
Żywiec,SlZywieKoper,147
Nisko,PkNiskoSzkla,149
Białystok,PdBialAlPils,150
Połaniec,SkPolaRuszcz,150
Kraków,MpKrakBulwar,152
Zamość,LbZamoHrubie,152
Warszawa,MzWarAlNiepo,152
Augustów,PdAugustowUz,156
Radomsko,LdRadomsRoln,156
Łask,LdLaskNarutoMOB,157
Działdowo,WmDzialPolnaMOB,160
Radom,MzRadTochter,161
Kalisz,WpKaliSawick,163
Katowice,SlKatoKossut,165
Lublin,LbLubObywate,170
Chojnów,DsChojnowMalMOB,170
Bielsko-Biała,SlBielPartyz,171
Kraków,MpKrakAlKras,178
Kutno,LdKutn1Maja7MOB,181
Włocławek,KpWloclOkrze,182
Warszawa,MzWarTolstoj,183
Dębica,PkDebiGrottg,185
Skarżysko-Kamienna,SkSkarz1MajaMOB,185
Racibórz,SlRaciborzWPMOB,186
Zgierz,LdZgieMielcz,189
Jastrzębie-Zdrój,SlJastrZdroj,200
Rzeszów,PkRzeszPilsu,203
Katowice,SlKatoPlebA4,267
